IN2157,Grundlegende Algorithmen (CSE),Fakultät für Informatik ,Prüfungstermin,Modulprüfung,geplant,"1350, Ludwig-Burmester-Zeichensaal (5503.01.350) ",14.04.2023,11:30  ,13:00
IN2157,Grundlegende Algorithmen (CSE),Fakultät für Informatik ,Nachbereitung,Modulprüfung,geplant,"1350, Ludwig-Burmester-Zeichensaal (5503.01.350) ",14.04.2023,13:00  ,13:30
IN8019,Wissenschaftliche Visualisierung ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"2503, Physik Hörsaal 3 (5101.EG.503) ",11.04.2023,10:45  ,11:30
IN8019,Wissenschaftliche Visualisierung ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"2503, Physik Hörsaal 3 (5101.EG.503) ",11.04.2023,11:30  ,12:45
IN8019,Wissenschaftliche Visualisierung ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"2503, Physik Hörsaal 3 (5101.EG.503) ",11.04.2023,12:45  ,13:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,14.04.2023,13:30  ,14:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,14.04.2023,14:15  ,16:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,14.04.2023,16:15  ,16:45
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",14.04.2023,13:30  ,14:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",14.04.2023,14:15  ,16:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",14.04.2023,16:15  ,16:45
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",14.04.2023,13:30  ,14:15
