MA3411,Zeitreihenanalyse ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"BC2 0.01.17, Hörsaal (8102.EG.117) ",01.03.2023,10:45  ,11:30
MA3411,Zeitreihenanalyse ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,geplant,"BC2 0.01.17, Hörsaal (8102.EG.117) ",01.03.2023,11:30  ,13:00
MA3411,Zeitreihenanalyse ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,geplant,"BC2 0.01.17, Hörsaal (8102.EG.117) ",01.03.2023,13:00  ,13:30
MA3411,Zeitreihenanalyse ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,geplant,"BC2 3.5.06, Hörsaal (8102.03.506) ",01.03.2023,10:45  ,11:30
MA3411,Zeitreihenanalyse ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,geplant,"BC2 3.5.06, Hörsaal (8102.03.506) ",01.03.2023,11:30  ,13:00
MA3411,Zeitreihenanalyse ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,geplant,"BC2 3.5.06, Hörsaal (8102.03.506) ",01.03.2023,13:00  ,13:30
MA0008,Numerik ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",21.02.2023,13:30  ,14:15
MA0008,Numerik ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",21.02.2023,14:15  ,15:45
MA0008,Numerik ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",21.02.2023,15:45  ,16:15
MA9302,Höhere Mathematik 2 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,23.02.2023,13:30  ,14:15
MA9302,Höhere Mathematik 2 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,23.02.2023,14:15  ,15:45
MA9302,Höhere Mathematik 2 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,23.02.2023,15:45  ,16:15
MA9302,Höhere Mathematik 2 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",23.02.2023,13:30  ,14:15
MA9302,Höhere Mathematik 2 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",23.02.2023,14:15  ,15:45
MA9302,Höhere Mathematik 2 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",23.02.2023,15:45  ,16:15
MA0001,Analysis 1 ,Fakultät für Mathematik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",23.02.2023,10:15  ,11:00
MA0001,Analysis 1 ,Fakultät für Mathematik ,Prüfungstermin,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",23.02.2023,11:00  ,13:00
MA0001,Analysis 1 ,Fakultät für Mathematik ,Nachbereitung,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",23.02.2023,13:00  ,13:30
