IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"0980, Audimax (0509.EG.980) ",09.08.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",09.08.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",09.08.2023,11:00  ,12:30
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",09.08.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,11.10.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,11.10.2023,11:00  ,12:30
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,11.10.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",11.10.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",11.10.2023,11:00  ,12:30
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",11.10.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"1550, Georg-Kühne-Zeichensaal (5505.01.550) ",11.10.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"1550, Georg-Kühne-Zeichensaal (5505.01.550) ",11.10.2023,11:00  ,12:30
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"1550, Georg-Kühne-Zeichensaal (5505.01.550) ",11.10.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",11.10.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",11.10.2023,11:00  ,12:30
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",11.10.2023,12:30  ,13:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"2502, Physik Hörsaal 2 (5101.EG.502) ",11.10.2023,10:30  ,11:00
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"2502, Physik Hörsaal 2 (5101.EG.502) ",11.10.2023,11:00  ,12:30
IN0007,Grundlagen: Algorithmen und Datenstrukturen ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"2502, Physik Hörsaal 2 (5101.EG.502) ",11.10.2023,12:30  ,13:00
IN0010,Grundlagen: Rechnernetze und Verteilte Systeme ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",05.10.2023,16:30  ,17:00
IN0010,Grundlagen: Rechnernetze und Verteilte Systeme ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",05.10.2023,17:00  ,18:30
IN0010,Grundlagen: Rechnernetze und Verteilte Systeme ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"CH 21010, Hans-Fischer-Hörsaal (5401.01.101K) ",05.10.2023,18:30  ,19:00
IN0010,Grundlagen: Rechnernetze und Verteilte Systeme ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",05.10.2023,16:30  ,17:00
IN0010,Grundlagen: Rechnernetze und Verteilte Systeme ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",05.10.2023,17:00  ,18:30
IN0010,Grundlagen: Rechnernetze und Verteilte Systeme ,Department of Computer Science ,Nachbereitung,Modulprüfung,fix,"101, Hörsaal 1, ""Interims I"" (5620.01.101) ",05.10.2023,18:30  ,19:00
IN0010,Grundlagen: Rechnernetze und Verteilte Systeme ,Department of Computer Science ,Aufbau u. Vorbereitung,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",05.10.2023,16:30  ,17:00
IN0010,Grundlagen: Rechnernetze und Verteilte Systeme ,Department of Computer Science ,Prüfungstermin,Modulprüfung,fix,"00.02.001, MI HS 1, Friedrich L. Bauer Hörsaal (5602.EG.001) ",05.10.2023,17:00  ,18:30
